year,month,rainfall_mm,temp_mean_C,temp_max_C,temp_min_C,humidity_pct,pressure_kPa,wind_speed_ms,month_name,date
2004,4,103.98,26.258333333333333,29.833333333333332,23.57633333333333,87.73333333333333,99.86833333333334,1.0896666666666666,April,2004-04-01
2004,5,115.9,26.207741935483874,30.05516129032258,23.306451612903224,85.76129032258065,100.02870967741936,1.1519354838709677,May,2004-05-01
2004,6,260.2,24.641333333333332,28.150333333333332,22.064,89.932,100.27199999999999,1.2056666666666667,June,2004-06-01
2004,7,149.89000000000001,23.776774193548388,27.43967741935484,21.00516129032258,89.79483870967742,100.18129032258064,1.2961290322580645,July,2004-07-01
2004,8,88.28,24.22483870967742,28.483225806451614,21.19,87.56612903225808,100.22612903225806,1.4006451612903226,August,2004-08-01
2004,9,201.97,24.790666666666667,28.399333333333335,22.208000000000002,89.45433333333334,100.07366666666667,1.1076666666666666,September,2004-09-01
2004,10,240.47,25.13193548387097,28.639032258064514,22.541290322580643,90.54612903225807,100.00387096774193,1.04,October,2004-10-01
2004,11,102.49,25.626666666666665,29.213666666666665,22.922,89.77600000000001,99.913,0.874,November,2004-11-01
2004,12,48.47,26.348064516129032,30.69483870967742,22.98032258064516,85.43096774193549,99.8441935483871,0.8048387096774193,December,2004-12-01
2005,1,19.06,25.144193548387097,31.285806451612903,20.238709677419354,70.86096774193548,99.87645161290322,0.9722580645161291,January,2005-01-01
2005,2,61.69,28.121785714285714,33.190357142857145,24.22392857142857,77.6432142857143,99.7225,1.1110714285714285,February,2005-02-01
2005,3,157.66,26.818709677419356,30.663870967741932,23.96677419354839,85.43903225806451,99.85741935483871,1.0864516129032258,March,2005-03-01
2005,4,184.38,26.589666666666666,29.764,24.228333333333335,90.32133333333333,99.839,1.0316666666666667,April,2005-04-01
2005,5,205.25,25.88935483870968,29.048387096774192,23.45935483870968,90.70225806451613,99.96290322580644,1.1187096774193548,May,2005-05-01
2005,6,199.99,24.779666666666667,28.284,22.291999999999998,90.60666666666665,100.10933333333332,1.3823333333333332,June,2005-06-01
2005,7,65.02,23.92096774193548,27.725483870967743,21.091290322580647,89.11677419354838,100.26064516129033,1.3861290322580644,July,2005-07-01
2005,8,51.8,24.124193548387098,29.030645161290323,20.58451612903226,82.97935483870968,100.20193548387095,1.5187096774193547,August,2005-08-01
2005,9,185.0,25.48933333333333,30.303,22.137333333333334,82.03500000000001,100.09933333333333,1.3773333333333333,September,2005-09-01
2005,10,323.11,25.02806451612903,28.31677419354839,22.526451612903227,90.90064516129033,100.03967741935485,0.9425806451612903,October,2005-10-01
2005,11,112.78,25.786333333333335,29.445666666666668,22.867666666666665,89.45633333333333,99.87899999999999,0.836,November,2005-11-01
2005,12,29.48,25.85967741935484,29.781290322580645,22.725806451612904,87.26645161290324,99.7825806451613,0.8558064516129033,December,2005-12-01
2006,1,71.83,25.893548387096775,29.852580645161293,22.76451612903226,86.57774193548387,99.7732258064516,0.9067741935483871,January,2006-01-01
2006,2,108.89,26.293928571428573,30.139999999999997,23.358214285714286,86.77142857142857,99.77714285714286,1.0785714285714285,February,2006-02-01
2006,3,139.34,25.986129032258066,29.640967741935484,23.135161290322582,88.19677419354838,99.87225806451613,1.0764516129032258,March,2006-03-01
2006,4,118.09,26.165000000000003,29.35033333333333,23.671666666666667,89.827,99.77199999999999,1.0093333333333334,April,2006-04-01
2006,5,224.84,25.49741935483871,28.44161290322581,23.198709677419355,91.48032258064515,99.99806451612903,1.0006451612903227,May,2006-05-01
2006,6,180.45,24.965666666666667,28.1,22.55666666666667,91.28299999999999,100.10633333333334,1.0596666666666665,June,2006-06-01
2006,7,150.9,24.123548387096776,27.86225806451613,21.437419354838706,89.77,100.2158064516129,1.369032258064516,July,2006-07-01
2006,8,47.59,23.88193548387097,28.134193548387096,20.76322580645161,87.27064516129032,100.14612903225807,1.5296774193548388,August,2006-08-01
2006,9,149.67,24.723,28.935666666666666,21.819666666666667,87.48333333333333,100.11333333333333,1.3176666666666668,September,2006-09-01
2006,10,219.71,25.528387096774193,29.47193548387097,22.714193548387097,88.63516129032259,99.9541935483871,1.06,October,2006-10-01
2006,11,61.06,26.00133333333333,30.180333333333333,22.709666666666667,84.57266666666666,99.89866666666667,0.7853333333333333,November,2006-11-01
2006,12,16.77,27.206129032258065,32.60064516129032,22.970322580645163,73.74258064516128,99.97709677419354,0.7406451612903227,December,2006-12-01
